,Incident ID,Category,Description,Day,Date,Time,District,Latitude,Longitude
0,180362289,VEHICLE THEFT,STOLEN MOTORCYCLE,Tuesday,2018-05-15,10:30,SOUTHERN,-122.41191202732877,37.77520656149669
1,180360948,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,2018-05-15,04:14,SOUTHERN,-122.41925789481357,37.77514629165388
2,180360879,OTHER OFFENSES,PAROLE VIOLATION,Tuesday,2018-05-15,02:01,MISSION,-122.41781255878655,37.757100579642824
3,180360879,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,2018-05-15,02:01,MISSION,-122.41781255878655,37.757100579642824
4,180360879,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,2018-05-15,02:01,MISSION,-122.41781255878655,37.757100579642824
5,180360829,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,2018-05-15,01:27,MISSION,-122.41561725232026,37.75641376904809
6,180360835,ROBBERY,"ROBBERY, BODILY FORCE",Tuesday,2018-05-15,01:25,SOUTHERN,-122.41004163181597,37.781953653725715
7,180360835,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,2018-05-15,01:25,SOUTHERN,-122.41004163181597,37.781953653725715
8,180360794,LIQUOR LAWS,MISCELLANEOUS LIQOUR LAW VIOLATION,Tuesday,2018-05-15,00:19,PARK,-122.44776112231955,37.76984648754153
9,180360794,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,2018-05-15,00:19,PARK,-122.44776112231955,37.76984648754153
10,180360788,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Monday,2018-05-14,23:43,MISSION,-122.41796448376013,37.75869681664891
11,180360788,OTHER OFFENSES,RESISTING ARREST,Monday,2018-05-14,23:43,MISSION,-122.41796448376013,37.75869681664891
12,180360603,ROBBERY,"ROBBERY, BODILY FORCE",Monday,2018-05-14,21:45,TENDERLOIN,-122.41708535742424,37.78521535904708
13,180360578,ASSAULT,BATTERY,Monday,2018-05-14,21:30,SOUTHERN,-122.39100427327769,37.79251826551054
14,180360700,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,2018-05-14,21:30,SOUTHERN,-122.4140272626904,37.77186361771543
15,180360465,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,2018-05-14,20:42,SOUTHERN,-122.41283433212864,37.77779030942458
16,180360368,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,2018-05-14,20:02,TENDERLOIN,-122.40985372994119,37.783386237938174
17,180360352,ROBBERY,"ROBBERY, BODILY FORCE",Monday,2018-05-14,20:01,SOUTHERN,-122.4137213655681,37.775436824246235
18,180360255,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,2018-05-14,19:47,MISSION,-122.42188635798068,37.76491789094235
19,180360255,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,2018-05-14,19:47,MISSION,-122.42188635798068,37.76491789094235
20,180360540,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,2018-05-14,19:15,RICHMOND,-122.46656548859937,37.782849155153016
21,180360164,ASSAULT,BATTERY,Monday,2018-05-14,19:11,PARK,-122.435637436721,37.768169434617505
22,180360158,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Monday,2018-05-14,19:05,MISSION,-122.42188635798068,37.76491789094235
23,180360158,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Monday,2018-05-14,19:05,MISSION,-122.42188635798068,37.76491789094235
