,Unnamed: 0,Tree ID,Species,Latitude,Longitude,Year
23,95,52343,Ginkgo biloba :: Maidenhair Tree,37.7432495660688,-122.46679346106899,2005
26,113,11454,Pittosporum undulatum :: Victorian Box,37.7422870867037,-122.44019207752301,2006
32,146,50849,Prunus cerasifera :: Cherry Plum,37.7687597794902,-122.447616458722,2004
57,264,52392,Prunus cerasifera :: Cherry Plum,37.7368773658256,-122.42409409520599,2005
58,265,52390,Prunus cerasifera :: Cherry Plum,37.7368773658256,-122.42409409520599,2005
59,266,52391,Prunus cerasifera :: Cherry Plum,37.7368773658256,-122.42409409520599,2005
60,267,52389,Prunus cerasifera :: Cherry Plum,37.7368773658256,-122.42409409520599,2005
87,333,9317,Ligustrum lucidum :: Glossy Privet,37.743138360608704,-122.437831565564,2006
122,426,95093,Lophostemon confertus :: Brisbane Box,37.777519721304,-122.413138294803,2006
127,458,91707,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,37.7722336617279,-122.41827656224599,2007
129,460,91705,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,37.7722336617279,-122.41827656224599,2007
131,462,91704,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,37.7722336617279,-122.41827656224599,2007
135,466,91706,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,37.7722336617279,-122.41827656224599,2007
137,468,91703,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,37.7722336617279,-122.41827656224599,2007
138,469,91702,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,37.7722336617279,-122.41827656224599,2007
150,604,52388,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',37.7438250958144,-122.41881059601299,2005
162,680,28536,Ginkgo biloba 'Saratoga' :: Ginkgo: Saratoga,37.73395662609639,-122.38191348672399,2006
163,681,10727,Platanus x hispanica :: Sycamore: London Plane,37.73395662609639,-122.38191348672399,2004
164,685,10729,Ginkgo biloba :: Maidenhair Tree,37.73395662609639,-122.38191348672399,2006
189,751,51611,Afrocarpus gracilior :: Fern Pine,37.78476232670629,-122.421284078173,2005
198,762,91660,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,37.7572187178563,-122.416655196612,2007
199,765,47919,Platanus x hispanica :: Sycamore: London Plane,37.78476232670629,-122.421284078173,2005
204,774,31890,Tristaniopsis laurina :: Swamp Myrtle,37.7734345505501,-122.415854130267,2006
210,790,38488,Metrosideros excelsa :: New Zealand Xmas Tree,37.7987116832495,-122.415182364581,2003
230,880,81721,Acer rubrum :: Red Maple,37.7582819600733,-122.39133494567301,2004
231,881,81719,Acer rubrum :: Red Maple,37.7581702363807,-122.391318049186,2004
232,882,81720,Ginkgo biloba :: Maidenhair Tree,37.758230150117505,-122.39132033706001,2004
233,883,81722,Ginkgo biloba :: Maidenhair Tree,37.758352394954,-122.39133801773899,2004
234,884,81718,Ginkgo biloba :: Maidenhair Tree,37.7581095159642,-122.39130576084999,2004
235,885,81717,Acer rubrum :: Red Maple,37.758054868645395,-122.391304224825,2004
236,886,81723,Acer rubrum :: Red Maple,37.7584009709475,-122.39133494566201,2004
244,907,9797,Lophostemon confertus :: Brisbane Box,37.7824202152127,-122.424184324881,2006
245,909,9799,Lophostemon confertus :: Brisbane Box,37.7824202152127,-122.424184324881,2006
246,911,9800,Lophostemon confertus :: Brisbane Box,37.7824202152127,-122.424184324881,2006
247,914,9796,Lophostemon confertus :: Brisbane Box,37.7824202152127,-122.424184324881,2006
258,932,49774,Prunus serrulata :: Ornamental Cherry,37.7194380356715,-122.404656566431,2003
259,933,49775,Prunus serrulata :: Ornamental Cherry,37.7194380356715,-122.404656566431,2003
269,988,50456,Laurus nobilis :: Sweet Bay: Grecian Laurel,37.7596818177679,-122.38931576171001,2003
275,1007,33936,Magnolia grandiflora :: Southern Magnolia,37.7861322171854,-122.47988325082501,2004
277,1010,80804,Ginkgo biloba :: Maidenhair Tree,37.759796756532005,-122.38933223909201,2003
278,1011,80805,Ginkgo biloba :: Maidenhair Tree,37.7597504684343,-122.389328050963,2003
283,1019,13857,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,37.782321318828394,-122.409981490315,2007
284,1021,52147,Magnolia grandiflora :: Southern Magnolia,37.7328892306529,-122.377518518074,2005
285,1022,49773,Pittosporum undulatum :: Victorian Box,37.7328598551943,-122.377472089671,2003
294,1046,20131,Tristaniopsis laurina :: Swamp Myrtle,37.7757161626447,-122.43266880658399,2007
316,1088,85561,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.7275665867834,-122.379487431767,2007
317,1089,85562,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.7275665867834,-122.379487431767,2007
363,1211,44824,Maytenus boaria :: Mayten,37.7868115501975,-122.463192065912,2005
364,1212,44825,Maytenus boaria :: Mayten,37.7868115501975,-122.463192065912,2005
397,1383,50408,Magnolia grandiflora :: Southern Magnolia,37.7265181152989,-122.44057118662799,2003
398,1384,50407,Magnolia grandiflora :: Southern Magnolia,37.7265181152989,-122.44057118662799,2003
400,1389,86860,Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint,37.7399903195304,-122.42577334131501,2007
405,1404,87030,Tristaniopsis laurina :: Swamp Myrtle,37.7723651233427,-122.419994070446,2007
407,1417,53019,Prunus serrulata :: Ornamental Cherry,37.7497184085015,-122.46501544964501,2006
412,1434,13851,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,37.7823576258181,-122.40993540477501,2004
415,1446,51077,Olea europaea :: Olive Tree,37.7723011658658,-122.437038783281,2004
416,1447,51078,Olea europaea :: Olive Tree,37.7723011658658,-122.437038783281,2004
432,1483,83424,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7573574093248,-122.400785742066,2005
439,1498,10154,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',37.755389613891,-122.423331489083,2006
447,1520,17006,Tristaniopsis laurina :: Swamp Myrtle,37.773294801594,-122.435586477022,2007
449,1522,51057,Citrus spp :: Lemon: Orange: Lime,37.7204606269314,-122.40165491166901,2004
450,1523,85795,Ulmus parvifolia :: Chinese Elm,37.7788012938106,-122.405086799447,2007
453,1537,85758,Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,37.7788117396287,-122.40530502246901,2007
466,1608,85559,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.727479421244,-122.37933387198099,2007
467,1609,85560,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.727479421244,-122.37933387198099,2007
